ownertype,borough,schooldist,zipcode,address,xcoord,ycoord,buildingclassatpresent,saleprice,saledate
 ,MN,1,10009,199 EAST 7 STREET,989759,203363,C6,810000,2017-06-28
P,MN,1,10009,248 EAST 7 STREET,990331,202870,C6,404000,2017-07-07
P,MN,1,10009,223 EAST 3 STREET,989262,202492,D4,475000,2018-03-27
P,MN,1,10009,228 EAST 2 STREET,989140,202255,D4,0,2017-11-15
P,MN,1,10009,223 EAST 3 STREET,989262,202492,D4,790000,2017-12-09
P,MN,1,10009,228 EAST 2 STREET,989140,202255,D4,1100000,2018-01-05
 ,MN,2,10011,250 WEST 21 STREET,984613,210141,C6,0,2018-01-08
 ,MN,2,10011,520 WEST 23 STREET,982813,211724,D4,1200000,2017-12-21
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,8764,2017-11-20
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,123205,2017-11-01
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,106594,2017-08-01
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,75850,2017-07-25
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,77003,2017-10-16
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,91020,2017-07-07
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,75850,2017-07-17
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,122744,2017-10-20
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,122283,2017-09-15
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,152277,2017-08-21
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,40761,2017-09-15
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,152854,2017-09-01
 ,MN,2,10011,520 WEST 23 STREET,982813,211724,D4,1080000,2017-07-18
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,137568,2017-09-15
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,76715,2017-09-27
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,151701,2017-07-01
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,91020,2017-07-01
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,77291,2017-12-21
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,77291,2017-12-01
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,76715,2017-10-16
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,136531,2017-07-21
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,91020,2017-07-05
P,MN,2,10011,311 WEST 24 STREET,984464,211330,D4,77003,2017-11-16
P,MN,2,10001,270 9 AVENUE,984813,211962,D4,77291,2017-12-07
