city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Brooklyn,Kings,Success Academy Charter School - Bed Stuy 1,K-6,0,1,0,0,1st,2,1,0.998,5
New York,New York,Success Academy Charter School-Upper West,K-6,0,1,0,0,2nd,3,1,0.997,5
Bronx,Bronx,Success Academy Charter School-Bronx 1,K-7,0,1,0,0,3rd,1,2,0.996,5
Bronx,Bronx,Success Academy Charter School-Bronx 2,K-7,0,1,0,0,4th,4,,0.995,5
Brooklyn,Kings,Success Academy Charter School-Crown Heights,K-4,0,1,0,0,5th,,(n/a),0.995,5
New York,New York,Success Academy Charter School-Hell's Kitchen,K-4,0,1,0,0,6th,,(n/a),0.994,5
Brooklyn,Kings,Success Academy Charter School-Cobble Hill,K-5,0,1,0,0,7th,6,1,0.993,5
New York,New York,Success Academy Charter School-Harlem 5,K-7,0,1,0,0,8th,5,3,0.989,5
Brooklyn,Kings,Success Academy Charter School-Prospect Heights,K-4,0,1,0,0,9th,,(n/a),0.989,5
Brooklyn,Kings,Success Academy Charter School-Bed Stuy 2,K-5,0,1,0,0,10th,9,1,0.989,5
New York,New York,Success Academy Charter School-Union Square,K-4,0,1,0,0,11th,,(n/a),0.988,5
Bronx,Bronx,Success Academy Charter School-Bronx 3,K-4,0,1,0,0,12th,,(n/a),0.987,5
Jericho,Nassau,Jericho Union Free School District,"PK, KG-12",0,3,1,1,13th,10,3,0.984,5
Brooklyn,Kings,Success Academy Charter School-Williamsburg,K-5,0,1,0,0,14th,17,3,0.983,5
Scarsdale,Westchester,Scarsdale Union Free School District,K-12,0,5,1,1,15th,13,2,0.979,5
Brooklyn,Kings,Success Academy Charter School-Fort Greene,K-4,0,1,0,0,16th,,(n/a),0.977,5
Bronxville,Westchester,Bronxville Union Free School District,K-12,0,1,1,1,17th,16,1,0.976,5
Bronx,Bronx,South Bronx Classical Charter School,K-8,0,1,0,0,18th,7,11,0.976,5
Syosset,Nassau,Syosset Central School District,K-12,0,7,1,2,19th,25,6,0.972,5
Manhasset,Nassau,Manhasset Union Free School District,K-12,0,2,1,1,20th,12,8,0.97,5
Scarsdale,Westchester,Edgemont Union Free School District,K-12,0,2,1,0,21st,14,7,0.967,5
Chappaqua,Westchester,Chappaqua Central School District,K-12,0,3,1,2,22nd,22,,0.966,5
Briarcliff Manor,Westchester,Briarcliff Manor Union Free School District,K-12,0,1,1,1,23rd,19,4,0.961,5
Bronx,Bronx,Icahn Charter School 4,K-8,0,1,0,0,24th,8,16,0.961,5
Bronx,Bronx,Icahn Charter School 5,K-7,0,1,0,0,25th,18,7,0.96,5
Garden City,Nassau,Garden City Union Free School District,K-12,0,5,1,1,26th,20,6,0.957,5
Sea Cliff,Nassau,North Shore Central School District,K-12,1,3,1,0,27th,27,,0.956,5
Pittsford,Monroe,Pittsford Central School District,K-12,0,5,2,2,28th,24,4,0.954,5
Roslyn,Nassau,Roslyn Union Free School District,"PK, KG-12",0,3,1,1,29th,54,25,0.954,5
Irvington,Westchester,Irvington Union Free School District,K-12,0,2,1,1,30th,72,42,0.953,5
Bronx,Bronx,South Bronx Classical Charter School II,K-4,0,1,0,0,31st,,(n/a),0.953,5
South Salem,Westchester,Katonah-Lewisboro Union Free School District,K-12,0,3,1,1,32nd,31,1,0.951,5
New Hyde Park,Nassau,Herricks Union Free School District,K-12,0,3,1,1,33rd,26,7,0.95,5
Armonk,Westchester,Byram Hills Central School District,K-12,0,2,1,1,34th,21,13,0.948,5
Old Westbury,Nassau,East Williston Union Free School District,K-12,0,1,1,1,35th,57,22,0.947,5
New Hyde Park,Nassau,New Hyde Park-Garden City Park Union Free School District,K-6,0,4,0,0,36th,47,11,0.944,5
Eastchester,Westchester,Eastchester Union Free School District,K-12,1,3,1,0,37th,45,8,0.944,5
Rye,Westchester,Rye City School District,K-12,0,3,1,1,38th,49,11,0.941,5
Cold Spring Harbor,Suffolk,Cold Spring Harbor Central School District,K-12,0,3,1,0,39th,48,9,0.94,5
Rye Brook,Westchester,Blind Brook-Rye Union Free School District,K-12,1,1,0,1,40th,33,7,0.936,5
Elmhurst,Queens,Central Queens Academy Charter School,5-8,0,0,0,1,41st,23,18,0.936,5
Hastings On Hudson,Westchester,Hastings-On-Hudson Union Free School District,K-12,0,1,1,1,42nd,36,6,0.935,5
Ardsley,Westchester,Ardsley Union Free School District,K-12,0,1,1,1,43rd,34,9,0.932,5
Quogue,Suffolk,Quogue Union Free School District,"PK, KG-6",0,1,0,0,44th,11,33,0.932,5
Westbury,Nassau,East Meadow Union Free School District,K-12,1,5,2,2,45th,35,10,0.931,5
Bronx,Bronx,Icahn Charter School 2,K-8,0,1,0,0,46th,50,4,0.927,5
Pleasantville,Westchester,Pleasantville Union Free School District,K-12,0,1,1,1,47th,43,4,0.926,5
Brooklyn,Kings,Hellenic Classical Charter School,"PK, KG-8",0,1,0,0,48th,69,21,0.924,5
Plainview,Nassau,Plainview-Old Bethpage Central School District,K-12,0,5,1,2,49th,55,6,0.922,5
Rochester,Monroe,Penfield Central School District,K-12,0,4,1,1,50th,42,8,0.921,5
Wantagh,Nassau,Wantagh Union Free School District,K-12,0,3,1,1,51st,58,7,0.92,5
Voorheesville,Albany,Voorheesville Central School District,K-12,0,1,1,1,52nd,32,20,0.919,5
Manlius,Onondaga,Fayetteville-Manlius Central School District,K-12,0,3,1,2,53rd,30,23,0.917,5
